Reproduced origin time,Reproduced latitude,Reproduced longitude,Reproduced depth (km),Ho et al. origin time,Origin time without near source,Latitude without near source,Longitude without near source,Depth without near source (km),Origin time with STAR,Latitude with STAR,Longitude with STAR,Depth with STAR (km)
2001-12-01T22:29:50.267782,-75.09811729480299,160.92788144948278,24.179688,2001-12-01T22:29:50.577004,2001-12-01T22:29:50.319754,-75.07509813419847,160.82828382163044,24.53125,,,,
2001-12-02T03:53:59.621564,-75.2633602822626,161.20231207509562,-4.648438,2001-12-02T03:53:59.703929,2001-12-02T03:53:59.821473,-75.28784356999506,161.21355830609028,-4.296875,,,,
2001-12-03T03:02:28.290560,-75.09120948872523,161.16915618979988,-4.648438,2001-12-03T03:02:28.250918,2001-12-03T03:02:28.574191,-75.18379152956972,160.88509503901898,120.859375,,,,
2001-12-03T08:16:32.151361,-75.5739682949616,160.6572635677807,141.601562,2001-12-03T08:16:32.335760,,,,,,,,
2001-12-04T03:15:42.309516,-75.1737977566224,160.8256328358783,-4.648438,2001-12-04T03:15:42.097855,2001-12-04T03:15:42.434013,-75.39544189858552,160.29678354961246,143.359375,,,,
2001-12-05T02:27:51.471882,-75.20143570042498,161.05849408378398,-4.824219,2001-12-05T02:27:51.274041,2001-12-05T02:27:51.167269,-75.18535020566954,161.11654484718846,-4.296875,,,,
2001-12-06T12:03:29.631805,-74.94279383676297,161.19172164024582,-4.648438,2001-12-06T12:03:29.697942,2001-12-06T12:03:29.823045,-74.89465162293368,161.12592227281485,82.1875,,,,
2001-12-09T06:03:27.438482,-75.28482677650096,160.90906984235696,-4.648438,2001-12-09T06:03:26.594844,2001-12-09T06:03:26.492912,-75.18991489530893,161.16879879476895,-2.890625,,,,
2001-12-09T18:05:16.454377,-75.36052902262084,160.80540466856158,-4.648438,2001-12-09T18:05:16.635301,2001-12-09T18:05:16.794254,-75.61998523851328,160.69776338225873,134.921875,,,,
2001-12-10T06:55:57.065331,-75.07671245528566,160.97834157494006,71.113281,2001-12-10T06:55:57.153804,2001-12-10T06:55:56.570654,-75.08434774261015,160.93186421775204,86.40625,,,,
2001-12-11T08:39:52.246496,-75.3297359615617,160.6705368981421,-4.648438,2001-12-11T08:39:52.092507,2001-12-11T08:39:52.720167,-75.32573258355679,160.5726711346941,-4.296875,,,,
2001-12-11T09:25:54.212013,-75.30317724231482,160.87668133385796,-4.824219,2001-12-11T09:25:53.186997,2001-12-11T09:25:54.023046,-75.42564179608662,160.8490739367375,125.078125,,,,
2001-12-13T11:06:55.181336,-75.22726146177332,160.37109182212114,-4.648438,2001-12-13T11:06:53.684780,2001-12-13T11:06:54.403842,-75.21088800932837,160.55532660419482,-4.296875,,,,
2001-12-14T18:48:11.937609,-75.1348109872214,161.18388200388944,-4.296875,2001-12-14T18:48:12.203592,2001-12-14T18:48:12.353550,-75.00369632584624,161.73003538335217,24.53125,,,,
2001-12-16T20:59:30.585900,-75.09201030728605,160.9651035496151,-4.648438,2001-12-16T20:59:29.972033,2001-12-16T20:59:29.690059,-75.1149689432017,161.06502899059984,115.9375,,,,
